userId,movieId,rating,timestamp
15,34,3.0,997938310
15,95,1.5,1093028331
15,101,4.0,1134522072
15,123,4.0,997938358
15,125,3.5,1245362506
15,160,0.5,1093028411
15,162,4.0,997938676
15,233,4.0,1033344772
15,317,1.0,1093028399
15,481,3.0,1166586748
15,494,4.0,1093028414
15,500,3.0,1035258747
15,509,2.0,1093028389
15,527,4.0,997937239
15,535,3.0,1033345148
15,556,3.5,1361078504
15,590,3.0,1093028142
15,663,2.0,1035258608
15,708,3.0,1093028406
15,784,2.5,1093070207
15,858,5.0,997938703
15,899,5.0,1058250570
15,923,5.0,997938727
15,1073,3.0,997938603
15,1092,2.5,1193436089
15,1095,4.0,1040205624
15,1208,5.0,997938822
15,1210,5.0,997938466
15,1212,3.0,1166586696
15,1217,2.0,1055439440
15,1218,4.0,997939207
15,1219,3.0,997938203
15,1225,4.0,1034544304
15,1240,3.0,997938451
15,1250,4.0,997938760
15,1264,3.0,997938162
15,1339,2.0,1134521654
15,1342,2.0,1033345050
15,1649,2.0,997938647
15,1779,1.0,1166586707
15,1816,2.5,1465881179
15,1945,4.0,997938954
15,1952,3.0,997938810
15,1953,3.0,997938528
15,1968,4.0,1052897128
15,2006,4.0,1035258747
15,2011,3.0,1044219825
15,2060,2.0,1052896975
15,2427,3.0,1040205754
15,2501,3.0,997938760
15,2605,1.0,1033344772
15,2717,3.5,1465793437
15,2881,1.0,1033344752
15,2987,4.0,997939144
15,3007,2.5,1361078485
15,3030,4.0,997939021
15,3101,4.0,997937311
15,3129,3.5,1054449917
15,3146,1.5,1460076724
15,3168,2.5,1338698402
15,3182,2.0,997937726
15,3185,2.0,1033344958
15,3362,3.5,1120209453
15,3429,3.0,997938310
15,3499,3.0,997938242
15,3504,4.0,997938810
15,3555,1.0,1166586553
15,3633,4.0,1345381200
15,3639,2.0,1345397721
15,3728,4.0,1443385280
15,3794,4.0,997937914
15,4052,1.0,997937442
15,4082,1.0,1034544351
15,4247,1.0,1349622526
15,4351,3.0,1349048073
15,4383,3.0,997937775
15,4388,3.0,1416119736
15,4410,3.0,997939653
15,4643,3.0,997937346
15,4979,5.0,1033343841
15,5015,1.0,1033344055
15,5066,3.0,1033343866
15,5364,2.5,1465881201
15,5388,2.0,1166586831
15,5502,1.0,1033344129
15,5568,3.0,1035258747
15,5577,2.5,1054513297
15,5669,4.0,1046209630
15,5909,1.0,1096005087
15,5945,1.0,1096005111
15,6155,0.5,1416119753
